101: 角色经验
100321: 味道微妙的「玛格丽特」
100322: 味道混杂的「重击」
100323: 口感微妙的「明珠」
100324: 味道不太对的酒
100325: 风味不对的酒
100326: 味道混杂的酒
100327: 口感微妙的啤酒
100328: 勉强能称之为酒的物品
100329: 从未见过的酒…
100330: 看上去很平常的酒
100331: (test)酒16
100332: (test)酒17
100333: (test)酒18
100334: (test)酒19
100335: (test)酒20
100336: (test)酒21
100337: (test)酒22
100338: (test)酒23
100339: (test)酒24
100340: (test)酒25
100341: (test)酒26
100342: (test)酒27
100343: (test)酒28
100344: (test)酒29
100345: (test)酒30
100346: (test)酒31
100347: (test)酒32
100348: 古德温的信
100349: 某人的漂流瓶
100351: 特纳先生的止咳药
100352: 杜拉夫的信
100353: 木桩材料
100354: 莎拉的信
100355: 洗净的白萝卜
100350: (test)可莉的本子
100356: 盖伊的信
100357: 昆恩的特调酒
100358: 玛格丽特的特调酒
100359: 杰克的特调酒
100360: 杜拉夫的特调酒
100361: 提瓦特游览指南·璃月篇
100362: 信件
100363: 一大袋摩拉
100364: 神霄折戟录·第六卷
100365: 完整的木桩
100366: 岩神传说：炉灶之神
100367: 岩神传说：开拓之神
100368: 岩神传说：财神
100369: 岩神传说：历史之神
100370: 《海山履云记》
100371: (test)神州折戟录的回忆二
100372: (test)神州折戟录的回忆三
100373: 《裁雨声·上》
100374: 《裁雨声·中》
100375: (test)千里寻父录的回忆三
100376: 言笑做给江雪的饭
100377: 璐璐关于船只进出的见闻
100378: 璐璐关于船只进出的见闻
100379: 璐璐关于船只进出的见闻
100380: 阿飞关于船只进出的见闻
100381: 阿飞关于船只进出的见闻
100382: 阿飞关于船只进出的见闻
100383: 小蒙关于船只进出的见闻
100384: 小蒙关于船只进出的见闻
100385: 小蒙关于船只进出的见闻
100386: 封住的包裹
100387: 古华派的大师兄
100388: 冒险家罗尔德的日志·孤云阁
100389: 冒险家罗尔德的日志·地中之盐
100390: 冒险家罗尔德的日志·绝云间·庆云顶
100391: 冒险家罗尔德的日志·绝云间·奥藏天池
100392: 孤峡的藏宝图
100393: 孤峡的藏宝图
100394: 孤峡的藏宝图
100395: 封得松松垮垮的盒子
100396: 封得很紧的盒子
100397: (test)海盗的传说
100398: 凯瑟琳的信
100399: 绝云记闻·石兽
100400: 绝云记闻·海神宫
100401: 玑衡经
100402: 侠客记·山叟篇
100403: 璃月风土志·绣球
100404: 石书辑录·卷一
100405: 天衡绝倒集
100406: 丘丘人习俗考察·卷一
100407: 丘丘人习俗考察·卷二
100408: 丘丘人习俗考察·卷四
100409: 列王与宗室史·序
100410: 古恩希尔德小传
100411: 侍从骑士之歌·上篇
100412: 侍从骑士之歌·下篇
100413: 提瓦特野外救急食谱
100414: 巨阶的藏宝图
100415: 巨阶的藏宝图
100416: 巨阶的藏宝图
100417: 汪洋的藏宝图
100418: 汪洋的藏宝图
100419: 汪洋的藏宝图
100420: (test)畅畅的日记2
100421: (test)旅行家的日记2
100422: (test)海盗的传说2
100423: (test)畅畅的日记3
100424: (test)旅行家的日记3
100425: (test)海盗的传说3
100426: 护法仙众夜叉录
100427: 降魔印
100428: 特制杏仁豆腐
100429: 遗落的包裹
100430: 百无禁忌箓
100431: 可莉的木牌
100432: 神霄折戟录·第一卷
100433: 神霄折戟录·第二卷
100434: 神霄折戟录·第三卷
100435: 神霄折戟录·第四卷
100436: 神霄折戟录·第五卷
100437: 碎梦奇珍·月光
100438: 碎梦奇珍·琉璃
100439: 碎梦奇珍·蓝宝石
100440: 碎梦奇珍·石心
100441: 冒险家罗尔德的日志·青墟浦
100442: 旅行者的笔记
100443: 旅行者的笔记
100444: 旅行者的笔记
100445: 旅行者的笔记
100450: 香炉
100451: 七星灯
100452: 掇星攫辰天君的信
100453: 特制蒙德土豆饼
100454: 被草史莱姆吞下去过的树莓
100455: 水史莱姆的浓厚凝液
100456: 被风史莱姆吹拂过的风车菊
100457: 搜集而来的碎片
100458: 搜集而来的碎片
100459: 搜集而来的碎片
100460: 从石碑上抄下来的文字
100461: 从石碑上抄下来的文字
100462: 从石碑上抄下来的文字
100463: 从石碑上抄下来的文字
100464: 从石碑上抄下来的文字
100465: 从遗迹中抄下来的文字
100466: 从遗迹中抄下来的文字
100467: 轻策之藏
100468: (test)盗宝团情报笔记
100469: 存疑的丘丘人语单句
100470: (test)艾拉·马斯克的诗歌翻译
100471: (test)优美的丘丘语抒情诗
100472: 提米的亲笔信
100473: 由玛乔丽推荐的「礼物」
100474: 来自昆恩的「礼物」
100475: 莎拉小姐的特色餐品
100476: 客商的包裹
100477: 装着货单的盒子
100478: 装着货单的盒子
100479: 装着货单的盒子
100480: 清泉之心·一
100481: 清泉之心·二
100482: 清泉之心·三
100483: 清泉之心·四
100484: 霖铃精选诗集
100485: 货物单
100486: 确认了货物数量的货物单
100487: 「金屋藏娇」
100488: 「山阴锦簇」
100489: 「缥缈仙缘」
100490: 「金屋藏娇」精油
100491: 「山阴锦簇」精油
100492: 「缥缈仙缘」精油
100493: 宝儿的空盒子
100494: 沉重的盒子
100495: 被水打湿的书页
100496: 一大袋摩拉
100497: 「金屋藏娇」香膏
100498: 「山阴锦簇」香膏
100499: 「缥缈仙缘」香膏
100500: 装有「小玩意」的盒子
100501: 涤尘铃
100502: 归终机维护材料
100503: 绮命与志华的对话记录
100504: 思思与潮汐的对话记录
100505: 小蒙、阿飞与璐璐的对话记录
100506: 诺玛订的餐品
100507: 丘丘语诗歌试作·朗诵诗
100508: 丘丘语诗歌试作·叙事诗
100509: 丘丘语诗歌试作·抒情诗
100510: 薇尔的「礼物」
100511: 被盗的文物
100512: 萍姥姥的盒子
100513: 被撕下来的书页
100514: 胡乱涂写的书页
100515: 夜泊石样品
100516: 一袋摩拉
100517: 丘丘人暴徒战利品
100518: 盗宝团战利品
100519: 遗迹守卫战利品
100520: 夜泊石样品
100521: 夜泊石样品
100522: 永生香
100523: 归终机维护材料
100524: 坚固的木板
100525: 装有树叶的盒子
100526: （test）琉璃百合的种子
100527: （test）水史莱姆的精华液
100528: 盗宝团的钥匙
100529: 爱拉尼的便签
100530: 无名的宝藏
100531: 无名的宝藏
100532: 无名的宝藏
100533: 追叙之石
100534: 晦暗的戒指
100535: 梵米尔的画笔
100536: 梵米尔的颜料
100537: 黑白的画稿
100538: 彩色的画稿
100539: 无名的画稿
100540: 奇怪的石头
100541: 新鲜的清心
100542: 猎鹿人餐馆的「特产餐品」
100543: 芙萝拉的书签
100544: 「天使的馈赠」的特色饮料
100545: 特制香膏
100546: 薄荷精油
100547: 鲜美的史莱姆凝液
100548: 特别甜的甜甜花
100549: 新鲜的甜甜花
100550: 新鲜的塞西莉亚花
100551: 新鲜的风车菊
100552: 新鲜的小灯草
100553: 奇怪的调酒材料
100554: 来自托克的摩拉袋
100555: 「公子」与托克的摩拉袋
100556: 饱满的日落果
100557: 商家的海报
100558: 商家的海报
100559: 商家的海报
100560: 嘉义的礼物
100561: 盗宝团成员携带的地图
100562: 残破的笔记
100563: 奇怪的石头
100564: 骑士团指导手册·第五版
100565: 浮浪记·潮起
100566: 浮浪记·狂涛
100567: 浮浪记·潮息
100568: 犬又二分之一·一
100569: 犬又二分之一·二
100570: 犬又二分之一·三
100571: 犬又二分之一·四
100572: 犬又二分之一·五
100573: 竹林月夜·一
100574: 竹林月夜·二
100575: 竹林月夜·三
100576: 竹林月夜·四
100577: 醉客轶事·一
100578: 醉客轶事·二
100579: 醉客轶事·三
100580: 醉客轶事·四
100581: (test)礼物盒
100582: (test)布娃娃
100583: 「云中仙居」的图纸
100584: 深邃之血
100585: 镇石断片
100586: 帝君尘游记·一
100587: 帝君尘游记·二
100588: 帝君尘游记·三
100589: 帝君尘游记·四
100590: 荒山孤剑录·一
100591: 荒山孤剑录·二
100592: 荒山孤剑录·三
100593: 荒山孤剑录·四
100594: 小六的礼物
100595: 潮汐给翠儿的回信
100596: 小月的礼物
100597: 银杏写给博来的信
100598: 小昭写给江舟的单据
100599: 小昭写给小安的单据
100600: 翠儿写给潮汐的信
100601: 厚厚的笔记
100602: 杰克的地图
100603: 杰克的冒险之证
100604: 牢笼钥匙
100605: 「糖霜史莱姆」
100606: 野生琉璃百合
100607: 蒲公英海的狐狸·卷四
100608: 蒲公英海的狐狸·卷八
100609: 蒲公英海的狐狸·卷九
100610: 野猪公主·卷六
100611: 少女薇拉的忧郁·卷四
100612: 少女薇拉的忧郁·卷六
100613: 少女薇拉的忧郁·卷七
100614: 少女薇拉的忧郁·卷八
100615: 丘丘人习俗考察·卷三
100616: （test）百货名鉴纵览
100617: 山与海之书
100618: 奇异的「牙齿」
100619: 汲取了生命力的龙牙
100620: 公主之匣
100621: 祭司之匣
100622: 记事者之匣
100623: 看起来很普通的甜甜花
100624: 璃月风土志·迎神
100625: 「独眼小宝」玩偶
100626: 小六的信
100627: 使用过的木桩
100628: 粗糙的布袋
100629: 神秘的石板
100630: 盗宝团的「侦察情报」
100631: 维克多丢失的盒子
100632: 写有公告内容的纸条
100633: 旧经营许可证
100634: 经营场所证明及经营安全许诺书
100635: 出海申请批复件
100636: 「大雪猪王」的肉
100637: 绝云记闻·无妄
100638: 绝云记闻·山灵
100639: 珠玑宝矿
100640: 璃月风土志·霓裳花
100641: 璃月风土志·琉璃百合
100642: 连心珠·卷一
100643: 连心珠·卷二
100644: 连心珠·卷三
100645: 古老的考察日志·其之一
100692: 古老的考察日志·其之二
100693: 古老的考察日志·其之三
100646: 特制的蒙德土豆饼
100647: 特制的杏仁豆腐
100648: 特制的珍珠翡翠白玉汤
100649: 特制的甜甜花酿鸡
100650: 特制的松茸酿肉卷
100651: 特制的翡玉什锦袋
100652: 特制的火火肉酱面
100653: 特制的水煮黑背鲈
100654: 特制的摩拉肉
100655: 特制的庄园烤松饼
100656: 特制的来来菜
100657: 特制的香嫩椒椒鸡
100658: 特制的蒙德土豆饼
100659: 特制的水煮黑背鲈
100660: 特制的来来菜
100661: 特制的蒙德烤鱼
100662: 特制的爆炒肉片
100663: 特制的莲子禽蛋羹
100664: 特制的渔人吐司
100665: 特制的杏仁豆腐
100666: 特制的珍珠翡翠白玉汤
100667: 命令书
100668: (test)搜集而来的碎片1
100669: (test)搜集而来的碎片2
100670: (test)搜集而来的碎片3
100671: (test)低温教学承接用物件
100672: (test)古代文献一残页
100673: (test)古代文献二残页
100674: (test)古代文献三残页
100675: (test)古代文献四残页
100676: (test)古代文献五残页
100677: (test)古代文献六残页
100678: (test)古代文献·天空的记忆
100679: (test)古代文献·大地的记忆
100680: (test)古代文献·王国的记忆
100681: 嘉义的信
100682: 童年风味香嫩椒椒鸡
100683: 华丽玩具箱
100684: 聪子订购的浮生石片
100685: 特制的霄灯
100686: 葛罗丽的蒲公英籽
100687: 寄给塞琉斯的信
100688: 清昼的签名
100689: 装有鲜花的包裹
100690: 装有鲜花的包裹
100691: 帝君尘游记·四
100694: （test）好友筹集的摩拉袋
100695: （test）给戴因的特调酒
100696: （test）深渊教团的残破图卷·上
100697: （test）深渊教团的残破图卷·下
100698: （test）深渊教团的残破图卷·全
100699: 「荣发商铺」的订单收据
100700: 装有鲜花的包裹
100701: 装有鲜花的包裹
100702: 装有鲜花的包裹
100703: 感谢信
100704: 实验用药剂
100705: 「冷鲜肉」
100706: 冒险家罗尔德的日志·龙脊雪山
100707: 「留影机」印出的画
100708: 「留影机」印出的画
100709: 百无禁忌箓
100710: 哈里斯特制白汁时蔬烩肉
100711: 藏宝图
100712: 奇怪的纸条
100713: 一袋摩拉
100714: 被水泡过的盒子
100715: 珠玑宝矿
100721: （test）灯纸纤维待重命名
100722: （test）灯芯绒材待重命名
100723: 阿笨做的霄灯
100724: 未署名的明霄灯
100729: 思妤的霄灯
100716: 星银矿触媒
100717: 星银矿触媒
100718: 星银矿触媒
100719: 星银矿触媒
100720: 星银矿触媒
100727: 星银矿触媒
100725: (test)通用相片道具
100726: 阿桂的药
100728: 蒲公英籽
100730: 绝云记闻·麒麟
100731: 绝云记闻·玉遁
100732: 侠客记·黑貉篇
100734: 犬又二分之一·六
100735: 犬又二分之一·七
100736: 犬又二分之一·八
100737: 给乔姨的杏仁豆腐
100738: 给茱萸的金丝虾球
100739: 散发不幸的一道菜
100740: 遗落的冒险家笔记
100741: 坏掉的霄灯灯罩
100742: 坚硬的铁块
100743: 坚硬的水晶块
100744: 红色钩钩果
100745: 新鲜的绝云椒椒
100746: 精心挑选的礼物
100747: 海灯节礼品
100748: 炽热的骗骗花蜜
100749: 「万民堂」外送餐品
100750: 奇怪的盒子
100751: 带有题字的霄灯
100752: 土质样本
100753: 新鲜的清心
100754: 被史莱姆吞下去过的嘟嘟莲
100755: 新鲜的莲蓬
100756: 木板
100757: 新鲜的兽肉
100758: 优质的冷鲜肉
100759: 风花节风景画片
100760: 风花节风景画片
100761: 风花节风景画片
100762: 奇妙而美丽的花
100763: 「小心！」
100764: 新鲜的落落莓
100765: 火史莱姆凝液
100766: 特别的水瓶
100767: 似乎是笔记？
100768: 「镇物」
100769: 「镇物」
100770: 五百藏交给你的「镇物」
100771: 卷形的「镇物」
100772: 钥形的「镇物」
100773: （test）灵异的透镜
100774: 老旧的钥匙
100775: 古老的石板
100776: 古老的石板
100777: 古老的石板
100778: 古老的石板
100779: 品质不错的蒲公英籽
100780: 品质不错的风车菊
100781: 特制饮品
100782: 特制饮品
100783: 犬又二分之一·九
100784: 犬又二分之一·十
100785: 犬又二分之一·十一
100786: 连心珠·卷四
100787: 连心珠·卷五
100788: 丘丘语速查手册
100733: 侠客记·留尘篇
100789: 竹签
100790: 竹签
100791: 竹签
100792: 竹签
100793: 竹签
100794: 竹签
100795: 竹签
100796: 竹签
100797: 竹签
100798: 「御神签」
100799: 「御神签」
100800: 「御神签」
100801: 「御神签」
100802: 「御神签」
100803: 「御神签」
100804: 「御神签」
100805: 「御神签」
100806: 「御神签」
100807: 诡谲的「御神签」
100808: 诡谲的「御神签」
100809: 诡谲的「御神签」
100810: 诡谲的「御神签」
100811: 「誓言岬」的风景画
100812: 「摘星崖」的风景画
100813: 「风起地」的风景画
100814: 塞琉斯写给玉霞的信
100815: 雪山风景画片
100816: 「南十字武斗会」冠军奖牌
100817: 包装好的「酱菜煎肉」
100818: 莉莉亲手烤制的庄园烤松饼
100819: 神秘的机关零件
100820: 浅黄色的水晶
100821: 浅红色的水晶
100822: 浅蓝色的水晶
100823: 浅黄色的鱼鳞
100824: 浅蓝色的鱼鳞
100825: 浅红色的鱼鳞
100826: 猫饭
100827: 猫玩具
100828: 新鲜的鱼鳞
100829: 奇怪的…饮品？
100830: 在枯井旁找到的钱袋
100831: 老石
100832: 有些残破的木板
100833: 略有腐坏的木板
100834: (test)雷樱大祓要略
100835: 翠珏岩
100836: 翠含岩碎片
100837: 「解翠行」的证明文书
100838: 总务司备案文件
100839: 「不卜庐」的药理证明
100840: 新鲜的史莱姆凝液
100841: 「危危岛」的壁画
100842: 「破破岛」的壁画
100843: 无名岛屿的壁画
100844: 「双双岛」的壁画
100845: 笔迹已经模糊的笔记
100846: 新鲜的鱼肉
100847: (test)残破的笔记上
100848: (test)残破的笔记下
100849: 残破的货品清单
