101021: 生命值+24
501244: 元素精通+23
101201: 暴擊率+0.8%
101202: 暴擊率+1.0%
201201: 暴擊率+1.1%
201202: 暴擊率+1.3%
201203: 暴擊率+1.5%
301201: 暴擊率+1.6%
301202: 暴擊率+1.9%
301203: 暴擊率+2.1%
301204: 暴擊率+2.3%
401201: 暴擊率+2.2%
401202: 暴擊率+2.5%
401203: 暴擊率+2.8%
401204: 暴擊率+3.1%
501201: 暴擊率+2.7%
501202: 暴擊率+3.1%
501203: 暴擊率+3.5%
501204: 暴擊率+3.9%
101221: 暴擊傷害+1.5%
101222: 暴擊傷害+1.9%
201221: 暴擊傷害+2.2%
201222: 暴擊傷害+2.6%
201223: 暴擊傷害+3.1%
301221: 暴擊傷害+3.3%
301222: 暴擊傷害+3.7%
301223: 暴擊傷害+4.2%
301224: 暴擊傷害+4.7%
401221: 暴擊傷害+4.3%
401222: 暴擊傷害+5.0%
401223: 暴擊傷害+5.6%
401224: 暴擊傷害+6.2%
501221: 暴擊傷害+5.4%
501222: 暴擊傷害+6.2%
501223: 暴擊傷害+7.0%
501224: 暴擊傷害+7.8%
999001: 暴擊傷害+350.0%
999002: 暴擊率+100.0%
999003: 攻擊力+233333
999004: 防禦力+233333
998001: 生命值百分比+14.6%
998002: 攻擊力百分比+14.6%
998003: 防禦力百分比+18.2%
998004: 暴擊率+9.7%
998005: 元素充能效率+16.2%
998006: 元素精通+58
998007: 暴擊傷害+19.4%
995001: 生命值百分比+14.6%
995002: 攻擊力百分比+14.6%
995003: 防禦力百分比+18.2%
995004: 暴擊率+9.7%
995005: 元素充能效率+16.2%
995006: 元素精通+58
995007: 暴擊傷害+19.4%
997001: 生命值百分比+9.3%
997002: 攻擊力百分比+9.3%
997003: 防禦力百分比+11.7%
997004: 暴擊率+6.2%
997005: 元素充能效率+10.4%
997006: 元素精通+37
997007: 暴擊傷害+12.4%
996001: 生命值百分比+9.3%
996002: 攻擊力百分比+9.3%
996003: 防禦力百分比+11.7%
996004: 暴擊率+6.2%
996005: 元素充能效率+10.4%
996006: 元素精通+37
996007: 暴擊傷害+12.4%
994001: 暴擊率+80.0%
993001: 暴擊傷害+80.0%
992001: 護盾強效+80.0%
991001: 治療加成+80.0%
990001: 受治療加成+80.0%
989001: 冷卻縮減+50.0%
988001: 移動速度百分比+30.0%
987001: 火元素傷害加成+80.0%
986001: 雷元素傷害加成+80.0%
985001: 水元素傷害加成+80.0%
984001: 草元素傷害加成+80.0%
983001: 風元素傷害加成+80.0%
982001: 岩元素傷害加成+80.0%
981001: 冰元素傷害加成+80.0%
980001: 物理傷害加成+80.0%
979001: 火元素抗性+80.0%
978001: 雷元素抗性+80.0%
977001: 水元素抗性+80.0%
976001: 草元素抗性+80.0%
975001: 風元素抗性+80.0%
974001: 岩元素抗性+80.0%
973001: 冰元素抗性+80.0%
972001: 物理抗性+80.0%
971001: 傷害增加+80.0%
970001: 受傷減免+80.0%
969001: 防禦力+-500
968001: 元素精通+-300
951001: 生命值百分比+14.6%
951002: 攻擊力百分比+14.6%
951003: 防禦力百分比+18.2%
951004: 暴擊率+9.7%
951005: 元素充能效率+16.2%
951006: 元素精通+58
951007: 暴擊傷害+19.4%
952001: 生命值百分比+14.6%
952002: 攻擊力百分比+14.6%
952003: 防禦力百分比+18.2%
952004: 暴擊率+9.7%
952005: 元素充能效率+16.2%
952006: 元素精通+58
952007: 暴擊傷害+19.4%
953001: 生命值百分比+14.6%
953002: 攻擊力百分比+14.6%
953003: 防禦力百分比+18.2%
953004: 暴擊率+9.7%
953005: 元素充能效率+16.2%
953006: 元素精通+58
953007: 暴擊傷害+19.4%
956001: 生命值百分比+14.6%
956002: 攻擊力百分比+14.6%
956003: 防禦力百分比+18.2%
956004: 暴擊率+9.7%
956005: 元素充能效率+16.2%
956006: 元素精通+58
956007: 暴擊傷害+19.4%
941001: 生命值百分比+9.3%
941002: 攻擊力百分比+9.3%
941003: 防禦力百分比+11.7%
941004: 暴擊率+6.2%
941005: 元素充能效率+10.4%
941006: 元素精通+37
941007: 暴擊傷害+12.4%
942001: 生命值百分比+9.3%
942002: 攻擊力百分比+9.3%
942003: 防禦力百分比+11.7%
942004: 暴擊率+6.2%
942005: 元素充能效率+10.4%
942006: 元素精通+37
942007: 暴擊傷害+12.4%
943001: 生命值百分比+9.3%
943002: 攻擊力百分比+9.3%
943003: 防禦力百分比+11.7%
943004: 暴擊率+6.2%
943005: 元素充能效率+10.4%
943006: 元素精通+37
943007: 暴擊傷害+12.4%
946001: 生命值百分比+9.3%
946002: 攻擊力百分比+9.3%
946003: 防禦力百分比+11.7%
946004: 暴擊率+6.2%
946005: 元素充能效率+10.4%
946006: 元素精通+37
946007: 暴擊傷害+12.4%
961001: 生命值百分比+14.6%
961002: 攻擊力百分比+14.6%
961003: 防禦力百分比+18.2%
961004: 暴擊率+9.7%
961005: 元素充能效率+16.2%
961006: 元素精通+58
961007: 暴擊傷害+19.4%
961008: 生命值+747
961009: 攻擊力+49
961010: 防禦力+58
962001: 生命值百分比+14.6%
962002: 攻擊力百分比+14.6%
962003: 防禦力百分比+18.2%
962004: 暴擊率+9.7%
962005: 元素充能效率+16.2%
962006: 元素精通+58
962007: 暴擊傷害+19.4%
962008: 生命值+747
962009: 攻擊力+49
962010: 防禦力+58
963001: 生命值百分比+14.6%
963002: 攻擊力百分比+14.6%
963003: 防禦力百分比+18.2%
963004: 暴擊率+9.7%
963005: 元素充能效率+16.2%
963006: 元素精通+58
963007: 暴擊傷害+19.4%
963008: 生命值+747
963009: 攻擊力+49
963010: 防禦力+58
964001: 生命值百分比+14.6%
964002: 攻擊力百分比+14.6%
964003: 防禦力百分比+18.2%
964004: 暴擊率+9.7%
964005: 元素充能效率+16.2%
964006: 元素精通+58
964007: 暴擊傷害+19.4%
964008: 生命值+747
964009: 攻擊力+49
964010: 防禦力+58
965001: 生命值百分比+14.6%
965002: 攻擊力百分比+14.6%
965003: 防禦力百分比+18.2%
965004: 暴擊率+9.7%
965005: 元素充能效率+16.2%
965006: 元素精通+58
965007: 暴擊傷害+19.4%
965008: 生命值+747
965009: 攻擊力+49
965010: 防禦力+58
