101: 角色經驗
2021: 原子能量球(風)
2022: 原子能量球(冰)
2023: 原子能量球(岩)
2024: 原子能量球(全)
2025: 任務用-超量原子能量球(全)
2026: 時間碎片（玩法道具）
2027: 時間碎片（玩法道具）
2028: 任務用-元素蜜囊原子能量球
2029: 任務用-元素蜜囊原子能量球
2800: 
3001: 測試隨機寶箱
3002: 測試固定寶箱
3003: 角色卡扭蛋
3004: 神里綾華
3005: 香菱
3006: 琴
3007: 迪盧克
3008: 溫迪
3009: 神里綾華測試包
3010: 香菱測試包
3011: 琴測試包
3012: 迪盧克測試包
3013: 溫迪測試包
3014: 安柏測試包
3015: 凱亞測試包
3016: 麗莎測試包
3017: 芭芭拉測試包
3018: 芭芭拉
3019: 雷澤
3020: 雷澤測試包
3021: 凱亞
3022: 麗莎
10002: 
10003: 
10004: 
10005: 
10006: 
10008: 
20001: 
20002: 初學者之羽
20004: 初學者之花
100001: 蘋果
100002: 日落果
100003: 紙條
100004: 掠奪的貨物
100006: 丘丘人解藥
100007: 攀爬終點花環
100008: 飛行終點花環
100009: 飛行終點花環
100010: 飛行冠軍獎盃
100011: 蘑菇
100012: 甜甜花
100013: 胡蘿蔔
100014: 白蘿蔔
100015: 金魚草
100016: 薄荷
100017: 小麥
100018: 高麗菜
100019: 天原銀蓮
100020: 松果
100021: 鉤鉤果
100022: 落落莓
100023: 塞西莉亞花
100024: 風車菊
100025: 慕風蘑菇
100026: 蓮蓬
100027: 絕雲椒椒
100028: 夜泊石
100029: 霓裳花
100030: 琉璃百合
100031: 清心
100032: 馬尾
100033: 星螺
100034: 琉璃袋
100051: 樹莓
100052: 冰霧花花朵
100053: 烈焰花花蕊
100054: 電氣水晶
100055: 小燈草
100056: 嘟嘟蓮
100057: 蒲公英籽
100058: 石珀
100061: 獸肉
100062: 鳥蛋
100063: 松茸
100064: 禽肉
100072: 蝴蝶翅膀
100073: 螃蟹
100074: 蟹黃
100075: 鹽
100076: 洋蔥
100077: 胡椒
100078: 牛奶
100079: 番茄
100080: 馬鈴薯
100081: 青蛙
100082: 發光髓
100083: 蜥蜴尾巴
100084: 魚肉
100085: 晶核
100086: 小塊獸肉
100087: 小塊禽肉
100088: 豆腐
100089: 杏仁
100090: 鰍鰍寶玉
100091: 竹筍
100092: 稻米
100093: 蝦仁
100094: 「冷鮮肉」
100095: 鰻肉
100101: 琴的文件包裹
100102: 《極限逃生》
100103: 殘缺樂譜（上半章）
100104: 殘缺樂譜（下半章）
100105: 麗莎給琴的私信
100106: 《秋宵》
100107: 看起來很好吃
100108: 藥劑
100109: 芭芭拉的治療
100110: 詩篇斷章（上）
100111: 詩篇斷章（中）
100112: 詩篇斷章（下）
100113: 拓下來
100114: 回復人形藥劑
100115: 天空之琴
100120: 蟋蟀毛
100121: 蟋蟀（白）
100122: 蟋蟀（藍）
100123: 蟋蟀（紫）
100124: 蟋蟀（金）
100125: 水琥珀
100126: 風琥珀
100131: 隨機寶物甲
100132: 隨機寶物乙
100133: 隨機寶物甲
100134: 隨機寶物乙
100135: 赤色的結晶
100136: 封印線索101
100137: 封印線索102
100138: 封印線索103
100139: 封印線索201
100140: 封印線索202
100141: 封印線索203
100142: 封印線索301
100143: 封印線索302
100144: 封印線索303
100145: 解開封印1
100146: 解開封印2
100147: 解開封印3
100148: 調查風魔龍巢穴封印
100149: 解開風魔龍巢穴封印
100151: 破碎的記憶（風）
100152: 劍塚封印1
100153: 劍塚封印2
100154: 劍塚封印3
100158: 淚滴結晶
100159: 淚滴結晶
100160: 淚滴結晶
100161: 天空之琴
100162: 略微修復的天空之琴
100163: 完全修復的天空之琴
100164: 清澈的風龍淚滴
100165: 被毀壞的天空之琴
100171: 寶藏的線索(一)
100172: 寶藏的線索(二)
100173: 藏寶圖
100174: 萬能臨時互動
100175: 秘藏的鑰匙
100176: 黑色鑰匙
100177: 場景互動
100178: 少女薇拉的憂鬱·卷一
100179: 少女薇拉的憂鬱·卷二
100180: 少女薇拉的憂鬱·卷三
100181: 與神性同行·序言
100182: 溫妮莎傳奇·上篇
100183: 溫妮莎傳奇·下篇
100184: 海報
100185: 海報
100186: 蒙德百貨訂貨板
100187: 貓尾酒館留言板
100188: 蒲公英海的狐狸·卷一
100189: 蒲公英海的狐狸·卷二
100190: 蒲公英海的狐狸·卷三
100191: 蒲公英海的狐狸·卷五
100192: 蒲公英海的狐狸·卷六
100193: 蒲公英海的狐狸·卷七
100194: 蒲公英海的狐狸·卷十
100195: 蒲公英海的狐狸·卷十一
100196: 丘丘人詩歌選·上卷
100197: 丘丘人詩歌選·下卷
100198: 少女薇拉的憂鬱·卷五
100199: 少女薇拉的憂鬱·卷九
100200: 少女薇拉的憂鬱·卷十
100201: 林間風·故事拔萃節選
100202: 野豬公主·卷一
100203: 野豬公主·卷二
100204: 野豬公主·卷三
100205: 野豬公主·卷四
100206: 野豬公主·卷五
100207: 野豬公主·卷七
100208: 蒙德高塔·第一卷
100210: 元素的痕跡
100211: 斷裂的樹枝
100212: 碎掉的布片
100213: 林間風拾遺·龍之書
100214: 來自深淵教團的信
100215: 白之公主與六侏儒·卷一
100216: 白之公主與六侏儒·卷二
100217: 白之公主與六侏儒·卷三
100218: 白之公主與六侏儒·卷四
100219: 白之公主與六侏儒·卷五
100220: 白之公主與六侏儒·卷六
100221: 白之公主與六侏儒·卷七
100222: 千年孤寂
100223: 提瓦特遊覽指南·蒙德篇
100224: 風、勇氣和翅膀
100225: 狩獵陷阱
100226: 冒險家羅爾德的日誌·輕策山莊
100227: 冒險家羅爾德的日誌·淥華池
100228: 冒險家羅爾德的日誌·瑤光灘
100229: 給東東的信
100230: 誰人的日誌·其一·瑤光灘
100231: 散落的書頁
100232: 完整的書本
100233: 肥美的蘑菇
100234: 新鮮的胡蘿蔔
100235: 飽滿的高麗菜
100236: 飛行指南
100237: 嵐生石
100238: 霞生石
100239: 誰人的日誌·其二·歸離原
100240: 誰人的日誌·其三·絕雲間
100241: 誰人的日誌·其四·璃月港
100242: 給盜寶團的信
100243: 玉石戒指
100244: 美味的黃金蟹
100245: 山與海之書
100246: 《百人一揆～最強武鬥大會篇～》樣稿
100301: 懷爾德的紅色鑰匙
100302: 懷爾德的黑色鑰匙
100303: 錢袋
100304: 裝著餐費的錢包
100305: 美味的蜜醬胡蘿蔔煎肉
100306: 結實的木板
100307: 脆弱的木板
100308: 一捆繩索
100309: 裝著餐費的錢包
100310: 丟失的錢包
100311: 裝著餐費的錢包
100312: 美味的炸蘿蔔丸子
100313: 美味的嘟嘟蓮海鮮羹
100314: 一袋貨物
100315: 加工後的夜泊石
100316: 「蒙德落日」
100317: 「瑪格麗特」
100318: 「重擊」
100319: 「明珠」
100320: 顏色雜亂的「蒙德落日」
100321: 味道微妙的「瑪格麗特」
100322: 味道混雜的「重擊」
100323: 口感微妙的「明珠」
100324: 味道不太對的酒
100325: 風味不對的酒
100326: 味道混雜的酒
100327: 口感微妙的啤酒
100328: 勉強能稱之為酒的物品
100329: 從未見過的酒…
100330: 看起來很平常的酒
100331: （TEST）酒16
100332: （TEST）酒17
100333: （TEST）酒18
100334: （TEST）酒19
100335: （TEST）酒20
100336: （TEST）酒21
100337: （TEST）酒22
100338: （TEST）酒23
100339: （TEST）酒24
100340: （TEST）酒25
100341: （TEST）酒26
100342: （TEST）酒27
100343: （TEST）酒28
100344: （TEST）酒29
100345: （TEST）酒30
100346: （TEST）酒31
100347: （TEST）酒32
100348: 古德溫的信
100349: 某人的漂流瓶
100350: （test)可莉的本子
100351: 特納先生的止咳藥
100352: 杜拉夫的信
100353: 木樁材料
100354: 莎拉的信
100355: 洗淨的白蘿蔔
100356: 蓋伊的信
100357: 昆恩的特調酒
100358: 瑪格麗特的特調酒
100359: 傑克的特調酒
100360: 杜拉夫的特調酒
100361: 提瓦特遊覽指南·璃月篇
100362: 信件
100363: 一大袋摩拉
100364: 神霄折戟錄·第六卷
100365: 完整的木樁
100366: 岩神傳說：爐灶之神
100367: 岩神傳說：開拓之神
100368: 岩神傳說：財神
100369: 岩神傳說：歷史之神
100370: 《海山履雲記》
100371: 
100372: 
100373: 《裁雨聲·上》
100374: 《裁雨聲·中》
100375: 
100376: 言笑做給江雪的飯
100377: 璐璐關於船隻進出的見聞
100378: 璐璐關於船隻進出的見聞
100379: 璐璐關於船隻進出的見聞
100380: 阿飛關於船隻進出的見聞
100381: 阿飛關於船隻進出的見聞
100382: 阿飛關於船隻進出的見聞
100383: 小蒙關於船隻進出的見聞
100384: 小蒙關於船隻進出的見聞
100385: 小蒙關於船隻進出的見聞
100386: 封住的包裹
100387: 古華派的大師兄
100388: 冒險家羅爾德的日誌·孤雲閣
100389: 冒險家羅爾德的日誌·地中之鹽
100390: 冒險家羅爾德的日誌·絕雲間·慶雲頂
100391: 冒險家羅爾德的日誌·絕雲間·奧藏天池
100392: 孤峽的藏寶圖
100393: 孤峽的藏寶圖
100394: 孤峽的藏寶圖
100395: 封得鬆鬆垮垮的盒子
100396: 封得很緊的盒子
100397: 
100398: 凱瑟琳的信
100399: 絕雲記聞·石獸
100400: 絕雲記聞·海神宮
100401: 璣衡經
100402: 俠客記·山叟篇
100403: 璃月風土志·繡球
100404: 石書輯錄·卷一
100405: 天衡絕倒集
100406: 丘丘人習俗考察·卷一
100407: 丘丘人習俗考察·卷二
100408: 丘丘人習俗考察·卷四
100409: 列王與宗室史·序
100410: 古恩希爾德小傳
100411: 侍從騎士之歌·上篇
100412: 侍從騎士之歌·下篇
100413: 提瓦特野外緊急食譜
100414: 巨階的藏寶圖
100415: 巨階的藏寶圖
100416: 巨階的藏寶圖
100417: 汪洋的藏寶圖
100418: 汪洋的藏寶圖
100419: 汪洋的藏寶圖
100420: （test）暢暢的日記2
100421: 
100422: 
100423: 
100424: 
100425: 
100426: 護法仙眾夜叉錄
100427: 降魔印
100428: 特製杏仁豆腐
100429: 遺落的包裹
100430: 百無禁忌籙
100431: 可莉的木牌
100432: 神霄折戟錄·第一卷
100433: 神霄折戟錄·第二卷
100434: 神霄折戟錄·第三卷
100435: 神霄折戟錄·第四卷
100436: 神霄折戟錄·第五卷
100437: 碎夢奇珍·月光
100438: 碎夢奇珍·琉璃
100439: 碎夢奇珍·藍寶石
100440: 碎夢奇珍·石心
100441: 冒險家羅爾德的日誌·青墟浦
100442: 旅行者的筆記
100443: 旅行者的筆記
100444: 旅行者的筆記
100445: 旅行者的筆記
100450: 香爐
100451: 七星燈
100452: 掇星攫辰天君的信
100453: 特製蒙德薯餅
100454: 被草史萊姆吞下去過的樹莓
100455: 水史萊姆的濃厚凝液
100456: 被風史萊姆吹拂過的風車菊
100457: 搜集而來的碎片
100458: 搜集而來的碎片
100459: 搜集而來的碎片
100460: 從石碑上抄下來的文字
100461: 從石碑上抄下來的文字
100462: 從石碑上抄下來的文字
100463: 從石碑上抄下來的文字
100464: 從石碑上抄下來的文字
100465: 從遺蹟中抄下來的文字
100466: 從遺蹟中抄下來的文字
100467: 輕策之藏
100468: 
100469: 存疑的丘丘人語單句
100470: 
100471: 
100472: 提米的親筆信
100473: 由瑪喬麗推薦的「禮物」
100474: 來自昆恩的「禮物」
100475: 莎拉小姐的特色餐品
100476: 客商的包裹
100477: 裝著貨單的盒子
100478: 裝著貨單的盒子
100479: 裝著貨單的盒子
100480: 清泉之心·一
100481: 清泉之心·二
100482: 清泉之心·三
100483: 清泉之心·四
100484: 霖鈴精選詩集
100485: 貨物單
100486: 確認了貨物數量的貨物單
100487: 「金屋藏嬌」
100488: 「山陰錦簇」
100489: 「縹緲仙緣」
100490: 「金屋藏嬌」精油
100491: 「山陰錦簇」精油
100492: 「縹緲仙緣」精油
100493: 寶兒的空盒子
100494: 沉重的盒子
100495: 被水打濕的書頁
100496: 一大袋摩拉
100497: 「金屋藏嬌」香膏
100498: 「山陰錦簇」香膏
100499: 「縹緲仙緣」香膏
100500: 裝有「小玩意」的盒子
100501: 滌塵鈴
100502: 歸終機維護材料
100503: 綺命與志華的對話記錄
100504: 思思與潮汐的對話記錄
100505: 小蒙、阿飛與璐璐的對話記錄
100506: 諾瑪訂的餐品
100507: 丘丘語詩歌試作·朗誦詩
100508: 丘丘語詩歌試作·敘事詩
100509: 丘丘語詩歌試作·抒情詩
100510: 薇爾的「禮物」
100511: 被盜的文物
100512: 萍姥姥的盒子
100513: 被撕下來的書頁
100514: 胡亂塗寫的書頁
100515: 夜泊石樣品
100516: 一袋摩拉
100517: 丘丘人暴徒戰利品
100518: 盜寶團戰利品
100519: 遺蹟守衛戰利品
100520: 夜泊石樣品
100521: 夜泊石樣品
100522: 永生香
100523: 歸終機維護材料
100524: 堅固的木板
100525: 裝有樹葉的盒子
100526: 
100527: 
100528: 盜寶團的鑰匙
100529: 愛拉尼的便箋
100530: 無名的寶藏
100531: 無名的寶藏
100532: 無名的寶藏
100533: 追敘之石
100534: 晦暗的戒指
100535: 梵米爾的畫筆
100536: 梵米爾的顏料
100537: 黑白的畫稿
100538: 彩色的畫稿
100539: 無名的畫稿
100540: 奇怪的石頭
100541: 新鮮的清心
100542: 獵鹿人餐館的「特產餐品」
100543: 芙蘿拉的書籤
100544: 「天使的饋贈」的特色飲料
100545: 特製香膏
100546: 薄荷精油
100547: 鮮美的史萊姆凝液
100548: 特別甜的甜甜花
100549: 新鮮的甜甜花
100550: 新鮮的塞西莉亞花
100551: 新鮮的風車菊
100552: 新鮮的小燈草
100553: 奇怪的調酒材料
100554: 來自托克的摩拉袋
100555: 「公子」與托克的摩拉袋
100556: 飽滿的日落果
100557: 商家的海報
100558: 商家的海報
100559: 商家的海報
100560: 嘉毅的禮物
100561: 盜寶團成員攜帶的地圖
100562: 殘破的筆記
100563: 奇怪的石頭
100564: 騎士團指導手冊·第五版
100565: 浮浪記·潮起
100566: 浮浪記·狂濤
100567: 浮浪記·潮息
100568: 犬又二分之一·一
100569: 犬又二分之一·二
100570: 犬又二分之一·三
100571: 犬又二分之一·四
100572: 犬又二分之一·五
100573: 竹林月夜·一
100574: 竹林月夜·二
100575: 竹林月夜·三
100576: 竹林月夜·四
100577: 醉客軼事·一
100578: 醉客軼事·二
100579: 醉客軼事·三
100580: 醉客軼事·四
100581: 
100582: 
100583: 「雲中仙居」的圖紙
100584: 深邃之血
100585: 鎮石斷片
100586: 帝君塵遊記·一
100587: 帝君塵遊記·二
100588: 帝君塵遊記·三
100589: 帝君塵遊記·四
100590: 荒山孤劍錄·一
100591: 荒山孤劍錄·二
100592: 荒山孤劍錄·三
100593: 荒山孤劍錄·四
100594: 小六的禮物
100595: 潮汐給翠兒的回信
100596: 小月的禮物
100597: 銀杏寫給博來的信
100598: 小昭寫給江舟的單據
100599: 小昭寫給小安的單據
100600: 翠兒寫給潮汐的信
100601: 厚厚的筆記
100602: 傑克的地圖
100603: 傑克的冒險之證
100604: 牢籠鑰匙
100605: 「糖霜史萊姆」
100606: 野生琉璃百合
100607: 蒲公英海的狐狸·卷四
100608: 蒲公英海的狐狸·卷八
100609: 蒲公英海的狐狸·卷九
100610: 野豬公主·卷六
100611: 少女薇拉的憂鬱·卷四
100612: 少女薇拉的憂鬱·卷六
100613: 少女薇拉的憂鬱·卷七
100614: 少女薇拉的憂鬱·卷八
100615: 丘丘人習俗考察·卷三
100616: 
100617: 山與海之書
100618: 奇異的「牙齒」
100619: 汲取了生命力的龍牙
100620: 公主之匣
100621: 祭祀之匣
100622: 記事者之匣
100623: 看起來很普通的甜甜花
100624: 璃月風土志·迎神
100625: 「獨眼小寶」玩偶
100626: 小六的信
100627: 使用過的木樁
100628: 粗糙的布袋
100629: 神祕石板
100630: 盜寶團的「偵察情報」
100631: 維克多丟失的盒子
100632: 寫有公告內容的紙條
100633: 舊經營許可證
100634: 經營場所證明及經營安全許諾書
100635: 出海申請批覆件
100636: 「大雪豬王」的肉
100637: 絕雲記聞·無妄
100638: 絕雲記聞·山靈
100639: 珠璣寶礦
100640: 璃月風土志·霓裳花
100641: 璃月風土志·琉璃百合
100642: 連心珠·卷一
100643: 連心珠·卷二
100644: 連心珠·卷三
100645: 古老的考察日誌·其之一
100646: 特製的蒙德薯餅
100647: 特製的杏仁豆腐
100648: 特製的珍珠翡翠白玉湯
100649: 特製的甜甜花釀雞
100650: 特製的松茸釀肉卷
100651: 特製的翡玉什錦袋
100652: 特製的火火肉醬麵
100653: 特製的水煮黑背鱸
100654: 特製的摩拉肉
100655: 特製的莊園烤鬆餅
100656: 特製的來來菜
100657: 特製的香嫩椒椒雞
100658: 特製的蒙德薯餅
100659: 特製的水煮黑背鱸
100660: 特製的來來菜
100661: 特製的蒙德烤魚
100662: 特製的爆炒肉片
100663: 特製的蓮子禽蛋羹
100664: 特製的漁人吐司
100665: 特製的杏仁豆腐
100666: 特製的珍珠翡翠白玉湯
100667: 命令書
100668: 
100669: 
100670: 
100671: 
100672: 
100673: 
100674: 
100675: 
100676: 
100677: 
100678: 
100679: 
100680: 
100681: 嘉毅的信
100682: 童年風味香嫩椒椒雞
100683: 華麗玩具箱
100684: 聰子訂購的浮生石片
100685: 特製的霄燈
100686: 葛蘿麗的蒲公英籽
100687: 寄給賽琉斯的信
100688: 清晝的簽名
100689: 裝有鮮花的包裹
100690: 裝有鮮花的包裹
100691: 帝君塵遊記·四
100692: 古老的考察日誌·其之二
100693: 古老的考察日誌·其之三
100694: 
100695: 
100696: 
100697: 
100698: 
100699: 「榮發商鋪」的訂單收據
100700: 裝有鮮花的包裹
100701: 裝有鮮花的包裹
100702: 裝有鮮花的包裹
100703: 感謝信
100704: 實驗用藥劑
100705: 「冷鮮肉」
100706: 冒險家羅爾德的日誌·龍脊雪山
100707: 「留影機」印出的畫
100708: 「留影機」印出的畫
100709: 百無禁忌籙
100710: 哈里斯特製白醬時蔬燴肉
100711: 藏寶圖
100712: 奇怪的紙條
100713: 一袋摩拉
100714: 被水泡過的盒子
100715: 珠璣寶礦
100716: 星銀礦觸媒
100717: 星銀礦觸媒
100718: 星銀礦觸媒
100719: 星銀礦觸媒
100720: 星銀礦觸媒
100721: 
100722: 
100723: 阿笨做的霄燈
100724: 未署名的明霄燈
100725: 
100726: 阿桂的藥
100727: 星銀礦觸媒
100728: 蒲公英籽
100729: 思妤的霄燈
100730: 絕雲記聞·麒麟
100731: 絕雲記聞·玉遁
100732: 俠客記·黑貉篇
100733: 俠客記·留塵篇
100734: 犬又二分之一·六
100735: 犬又二分之一·七
100736: 犬又二分之一·八
100737: 給喬姨的杏仁豆腐
100738: 給茱萸的金絲蝦球
100739: 散發不幸的一道菜
100740: 遺落的冒險家筆記
100741: 壞掉的霄燈燈罩
100742: 堅硬的鐵塊
100743: 堅硬的水晶塊
100744: 紅色鉤鉤果
100745: 新鮮的絕雲椒椒
100746: 精心挑選的禮物
100747: 海燈節禮品
100748: 熾熱的騙騙花蜜
100749: 「萬民堂」外送餐點
100750: 奇怪的盒子
100751: 帶有題字的霄燈
100752: 土質樣本
100753: 新鮮的清心
100754: 被史萊姆吞下去過的嘟嘟蓮
100755: 新鮮的蓮蓬
100756: 木板
100757: 新鮮的獸肉
100758: 優質的冷鮮肉
100759: 風花節風景畫片
100760: 風花節風景畫片
100761: 風花節風景畫片
100762: 奇妙而美麗的花
100763: 「小心！」
100764: 新鮮的落落莓
100765: 火史萊姆凝液
100766: 特別的水瓶
100767: 似乎是筆記？
100768: 「鎮物」
100769: 「鎮物」
100770: #五百藏交給{F#妳}{M#你}的「鎮物」
100771: 卷形的「鎮物」
100772: 鑰形的「鎮物」
100773: 
100774: 老舊的鑰匙
100775: 古老的石板
100776: 古老的石板
100777: 古老的石板
100778: 古老的石板
100779: 品質不錯的蒲公英籽
100780: 品質不錯的風車菊
100781: 特製飲品
100782: 特製飲品
100783: 犬又二分之一·九
100784: 犬又二分之一·十
100785: 犬又二分之一·十一
100786: 連心珠·卷四
100787: 連心珠·卷五
100788: 丘丘語速查手冊
100789: 竹籤
100790: 竹籤
100791: 竹籤
100792: 竹籤
100793: 竹籤
100794: 竹籤
100795: 竹籤
100796: 竹籤
100797: 竹籤
100798: 「御神籤」
100799: 「御神籤」
100800: 「御神籤」
100801: 「御神籤」
100802: 「御神籤」
100803: 「御神籤」
100804: 「御神籤」
100805: 「御神籤」
100806: 「御神籤」
100807: 詭譎的「御神籤」
100808: 詭譎的「御神籤」
100809: 詭譎的「御神籤」
100810: 詭譎的「御神籤」
100811: 「誓言岬」的風景畫
100812: 「摘星崖」的風景畫
100813: 「風起地」的風景畫
100814: 賽琉斯寫給玉霞的信
100815: 雪山風景畫片
100816: 「南十字武鬥會」冠軍獎牌
100817: 包裝好的「醬菜煎肉」
100818: 莉莉親手烤製的莊園烤鬆餅
100819: 神秘的機關零件
100820: 淺黃色的水晶
100821: 淺紅色的水晶
100822: 淺藍色的水晶
100823: 淺黃色的魚鱗
100824: 淺藍色的魚鱗
100825: 淺紅色的魚鱗
100826: 貓食
100827: 逗貓棒
100828: 新鮮的魚鱗
100829: 奇怪的…飲品？
100830: 在枯井旁找到的錢袋
100831: 老石
100832: 有點殘破的木板
100833: 略有腐壞的木板
100834: 
100835: 翠玨岩
100836: 翠含岩碎片
100837: 「解翠行」的證明文書
100838: 總務司備案文件
100839: 「不卜廬」的藥理證明
100840: 新鮮的史萊姆凝液
100841: 「危危島」的壁畫
100842: 「破破島」的壁畫
100843: 無名島嶼的壁畫
100844: 「雙雙島」的壁畫
100845: 筆跡已經模糊的筆記
100846: 新鮮的魚肉
100847: 
100848: 
100849: 殘破的貨品清單
100850: 水中找到的貨物袋
100851: 無名小島的壁畫
100852: 清晰的紀錄畫片
100853: 還算清晰的紀錄畫片
100854: 略為模糊的紀錄畫片
100855: 一把廢棄的刀
100856: 一壺酒
100857: 一把無主的刀
100858: 一袋花種
100859: 奇異的海螺
100860: 
100861: 將於明日逝去的賢者埃托莉亞
100862: 誠實貓的小範圍謊言
100863: 文學團
100864: 鏽蝕的鑰匙
100865: 
100866: 「堇鬼」的刀
100867: 「赤鬼」的刀
100868: 「御神籤」
100869: 「御神籤」
100870: 「御神籤」
100871: 「御神籤」
100872: 「御神籤」
100873: 「御神籤」
100874: 「御神籤」
100875: 給常九爺的禮物
100876: 給「枕玉」的禮物
100880: 牢籠鑰匙
100881: 金屬鑰匙
100882: 竺子的家書
100883: 字跡模糊的籤
100884: 破損的紙條
100885: 華美的絲綢
100886: 特製食譜：烤蘑菇披薩
100887: 
100888: 
100889: 卯師傅特製香嫩椒椒雞
100890: 香菱的手抄筆記
100891: 泛黃的信件
100892: 瓦希德捏製的飯糰
100893: 「長野原煙花店」的紙條
100894: 御靈珠
100895: 月浴淵之鑰
100896: 奇特的水瓶
100897: 飽含「願望」的水
100898: 「靈草」所需的水
100899: 林藏的信
100900: 林藏的徽記
100901: 藏匿的帳本
100902: 「木漏茶室」邀請函
100903: 似乎是一封情書
100904: 煮熟的肉
100905: 《第七個武士》劇本
100906: 
100907: 某人留下的紙條
100908: 竹籤
100909: 竹籤
100910: 竹籤
100911: 竹籤
100912: 竹籤
100913: 竹籤
100914: 竹籤
100915: 
100916: 略帶香味的書信
100917: 通行憑證
100918: 九條鐮治的親筆信
100919: 點心盒
100920: 暗淡御轡
100921: 御轡
100922: 狹間的蘇生之轡碎片
100923: 廟前的蘇生之轡碎片
100924: 蛇心的蘇生之轡碎片
100925: 蘇生之轡
100926: 狹間的供奉
100927: 廟前的供奉
100928: 蛇心的供奉
100929: 常世國龍蛇傳
100930: 深海龍蜥實驗紀錄
100931: 日月前事
100932: 白夜國地理水文考
100933: 光晝影底集
100934: 鍵紋
100935: 鍵紋
100936: 鍵紋
100937: 鍵紋
100938: 鍵紋
100939: 血枝珊瑚
100940: 神輿之轡
100941: 伊達的認可狀
100942: 伊達的認可狀
100943: 密室鑰匙
100944: 忘川之水
100945: 龍骨花凝珠
100946: 通往某處的鑰匙
100947: 通往某處的鑰匙
100948: 通往某處的鑰匙
100949: 曬乾的甜甜花
100950: 奇特的羽毛
100951: 木簧笛
100952: 木簧笛
100953: 
100954: 
100955: 被「祟神」影響的鬼兜蟲
100956: 遺失的零件
100957: 戴喪面具
100958: 無想刃狹間·磐柱鑲珠
100959: 無想刃狹間·磐柱鎮石
100960: 蛇神之首·磐柱鑲珠
100961: 蛇神之首·磐柱鎮石
100962: 蛇骨礦洞·磐柱鑲珠
100963: 蛇骨礦洞·磐柱鎮石
100964: 無明砦·磐柱鑲珠
100965: 無明砦·磐柱鎮石
100966: 「鳴草」的種子
100967: 優質「冷鮮肉」
100968: 熱騰騰的紅燴獸肉
100969: 一封家書
100970: 殘破的信箋
100971: 藥師的筆記本·一
100972: 藥師的筆記本·二
100973: 藥師的筆記本·三
100974: 開封的信箋
100975: 稻葉藤三郎久藏 絕筆
100976: 如星的寶珠
100977: 石板
