28010101: 黃金蟹
28050105: 珊瑚蝶
28050201: 新手盜寶鼬
28050202: 藏金盜寶鼬
28050203: 大黃金盜寶鼬
28050204: 新手盜寶鼬
28050211: 新手盜寶鼬
28050212: 藏金盜寶鼬
28050213: 大黃金盜寶鼬
28050221: 新手盜寶鼬
28050222: 藏金盜寶鼬
28050223: 大黃金盜寶鼬
28050301: 吉光蟲
28210101: 家園黃金蟹
28210102: 家園太陽蟹
28210103: 家園海藍蟹
28210104: 家園將軍蟹
28210105: 家園薄紅蟹
28210201: 家園藍角蜥
28210202: 家園紅角蜥
28210203: 家園綠角蜥
28210204: 家園落日鰍鰍
28210205: 家園金鰍鰍
28210206: 家園晴天鰍鰍
28210207: 家園嗜髓蜥
28210301: 家園青蛙
28210302: 家園泥蛙
28210303: 家園藍蛙
28210401: 家園藤紋陸鰻鰻
28210402: 家園深海鰻鰻
28210403: 家園赤鰭陸鰻鰻
28220101: 家園雪狐
28220102: 家園紅狐
28220201: 家園松鼠
28220301: 家園野林豬
28220303: 家園雪豬
28220401: 家園北地犬
28220402: 家園巡林犬
28220403: 家園柴犬
28220404: 家園黑背獵犬
28220501: 家園藍寶石
28220502: 家園翠目貓
28220503: 家園灰雪貓
28220504: 家園北地貓
28220505: 家園虎紋貓
28220506: 家園警長貓
28220601: 家園雪隱鼬
28220602: 家園紅尾鼬
28220603: 家園靴子鼬
28220605: 家園青雷鼬
28220701: 家園狐
28220901: 影狼丸
28230101: 家園藍翎鷺
28230102: 家園菫䴉
28230301: 家園白鴿
28230302: 家園璃冠鴿
28230303: 家園灰羽鴿
28230304: 家園赤脅鴿
28230305: 家園黑王鴿
28230306: 家園鴉
28230401: 家園赤團雀
28230402: 家園金團雀
28230403: 家園雪團雀
28230404: 家園碧團雀
28240201: 家園花鱂
28240202: 家園琉璃花鱂
28240203: 家園甜甜花鱂
28240204: 家園藍染花鱂
28240205: 家園擒霞客
28240206: 家園水晶宴
28240301: 家園肺棘魚
28240302: 家園鬥棘魚
28240303: 家園鴆棘魚
28240304: 家園赤魔王
28240305: 家園雪中君
28240401: 家園金赤假龍
28240402: 家園錆假龍
28240501: 家園流紋褐蝶魚
28240502: 家園流紋京紫蝶魚
28240503: 家園流紋茶蝶魚
28240504: 家園長生仙
28240505: 家園雷鳴仙
28240506: 家園月光鰭
28240601: 家園炮魨
28240602: 家園苦炮魨
28240701: 家園迪芙妲鰩
28240702: 家園佛瑪洛鰩
28250101: 家園風晶蝶
28250102: 家園岩晶蝶
28250103: 家園冰晶蝶
28250104: 家園雷晶蝶
28250105: 家園珊瑚蝶
28250301: 家園吉光蟲
