20010101: 草史萊姆
21010302: 木盾丘丘人（塔防）
21010401: 射手丘丘人
21010402: 射手丘丘人
21010501: 火箭丘丘人
21010502: 火箭丘丘人
21010601: 爆彈丘丘人
21010603: 爆彈丘丘人
21010701: 衝鋒丘丘人
21010702: 衝鋒丘丘人（塔防）
21010901: 冰箭丘丘人
21010902: 冰箭丘丘人
21011001: 雷箭丘丘人
21011002: 雷箭丘丘人
21011201: 岩盾丘丘人
21011202: 岩盾丘丘人（塔防）
21011301: 冰彈丘丘人
21011302: 冰彈丘丘人-強攻強化
21011401: 冰盾丘丘人
21011402: 冰盾丘丘人（塔防）
21011403: 冰盾丘丘人
21011501: 奇怪的丘丘人空手
21011601: 雷彈丘丘人
21011602: 雷彈丘丘人-強攻強化
21020101: 木盾丘丘暴徒
21020102: 木盾丘丘暴徒（塔防）
21020201: 火斧丘丘暴徒
21020202: 火斧丘丘暴徒
21020203: 火斧丘丘暴徒（塔防）
21020301: 岩盾丘丘暴徒
21020302: 岩盾丘丘暴徒（塔防）
21020401: 丘丘霜鎧王
21020402: 丘丘霜鎧王（塔防）
21020501: 丘丘岩盔王
21020502: 丘丘岩盔王（塔防）
21020601: 冰盾丘丘暴徒
21020602: 冰盾丘丘暴徒（塔防）
21020701: 雷斧丘丘暴徒
21020702: 雷斧丘丘暴徒（塔防）
21020703: 雷斧丘丘暴徒-強攻強化
21020801: 丘丘雷兜王
21020802: 丘丘雷兜王（塔防）
21030101: 水丘丘薩滿
21030102: 水丘丘薩滿（塔防）
21030103: 水丘丘薩滿
21030201: 草丘丘薩滿
21030202: 草丘丘薩滿（塔防）
21030203: 草丘丘薩滿
21030301: 風丘丘薩滿
21030302: 風丘丘薩滿（塔防）
21030303: 風丘丘薩滿
21030304: 風丘丘薩滿
21030401: 岩丘丘薩滿
21030402: 岩丘丘薩滿
21030403: 岩丘丘薩滿（塔防）
21030501: 冰丘丘薩滿
21030502: 冰丘丘薩滿（塔防）
21030601: 雷丘丘薩滿
21030602: 雷丘丘薩滿（塔防）
21030603: 雷丘丘薩滿-支援強化
22010101: 火深淵法師
22010102: 火深淵法師
22010103: 火深淵法師
22010104: 火深淵法師
22010105: 火深淵法師（塔防）
22010201: 冰深淵法師
22010202: 冰深淵法師
22010203: 冰深淵法師
22010204: 冰深淵法師
22010205: 冰深淵法師（塔防）
22010301: 水深淵法師
22010302: 水深淵法師
22010303: 水深淵法師
22010304: 水深淵法師
22010305: 水深淵法師（塔防）
22010401: 雷深淵法師
22010402: 雷深淵法師（塔防）
22010403: 雷深淵法師-防護強化
22010404: 雷深淵法師-強攻強化
22020101: 深淵使徒·激流（消失）
22020102: 深淵使徒·激流（常駐）
22030101: 深淵詠者·紫電（消失）
22030102: 深淵詠者·紫電（常駐）
22030201: 深淵詠者·淵火
22030202: 深淵詠者·淵火
22040101: 嗜岩·獸境幼獸
22040201: 嗜雷·獸境幼獸
22050101: 嗜岩·獸境獵犬
22050201: 嗜雷·獸境獵犬
22060101: 黃金王獸
22070101: 黯色空殼·旗令
22070102: 黯色空殼·旗令
22070201: 黯色空殼·破陣
22070202: 黯色空殼·破陣
22070301: 黯色空殼·近衛
22070302: 黯色空殼·近衛
22080101: 黑蛇騎士·斬風之劍
22090101: 你猜你猜你猜猜猜
23010101: 愚人眾先遣隊·冰銃重衛士
23010201: 愚人眾先遣隊·水銃重衛士
23010301: 愚人眾先遣隊·雷錘前鋒軍
23010401: 愚人眾先遣隊·岩使游擊兵
23010501: 愚人眾先遣隊·風拳前鋒軍
23010601: 愚人眾先遣隊·火銃游擊兵
23020101: 愚人眾·火之債務處理人
23020102: 愚人眾·火之債務處理人
23030101: 愚人眾·雷螢術士
23030102: 愚人眾·雷螢術士
23040101: 愚人眾·冰螢術士
23040102: 愚人眾·冰螢術士-強攻強化
23050101: 愚人眾·藏鏡仕女
24010101: 遺蹟守衛
24010102: 遺蹟守衛（塔防）
24010108: 遺蹟守衛
24010109: 遺蹟守衛
24010201: 遺蹟獵者
24010202: 遺蹟獵者（塔防）
24010301: 遺蹟重機
24010302: 遺蹟重機（塔防）
24010303: 遺蹟重機（挖礦版）
24010401: 遺蹟巨蛇
24020101: 遺蹟巡弋者
24020102: 遺蹟巡弋者（閹割版）
24020103: 遺蹟巡弋者（強化版）
24020201: 遺蹟殲擊者
24020202: 遺蹟殲擊者（閹割版）
24020203: 遺蹟殲擊者（強化版）
24020301: 遺蹟防衛者
24020302: 遺蹟防衛者（閹割版）
24020303: 遺蹟防衛者（強化版）
24020401: 遺蹟偵察者
24020402: 遺蹟偵察者（閹割版）
24020403: 遺蹟偵察者（強化版）
24021101: 恒常機關陣列
24021102: 恒常機關陣列（稻妻活動專用）
25010101: 「溜溜」
25010102: 神秘人
25010103: 盜寶團·「溜溜」
25010104: 盜寶團·「溜溜」
25010105: 盜寶團·「溜溜」
25010106: 盜寶團·「溜溜」
25010201: 盜寶團·斥候
25010203: 盜寶團·斥候
25010204: 盜寶團·斥候
25010205: 盜寶團·斥候
25010206: 盜寶團·斥候
25010207: 盜寶團·斥候
25010208: 盜寶團·斥候
25010301: 盜寶團·火之藥劑師
25010302: 盜寶團·火之藥劑師
25010401: 盜寶團·水之藥劑師
25010501: 盜寶團·雷之藥劑師
25010601: 盜寶團·冰之藥劑師
25010701: 盜寶團·雜工
25020101: 盜寶團·「怪鳥」
25020102: 盜寶團·「怪鳥」
25020201: 盜寶團·神射手
25020204: 盜寶團·神射手
25030101: 盜寶團·「卡門」
25030102: 盜寶團·「卡門」
25030103: 盜寶團·「卡門」
25030201: 盜寶團·掘墓者
25030301: 盜寶團·海上男兒
25040101: 盜寶團·「大姐頭」
25040102: 盜寶團·「大姐頭」
25040103: 盜寶團·「大姐頭」
25050101: 千岩軍士兵
25050201: 千岩軍教頭
25050301: 幕府足輕
25050401: 幕府足輕頭
25050402: 幕府足輕頭
25050501: 珊瑚宮眾
25050502: 珊瑚宮眾
25060101: 盜寶團·拳術家
25060102: 盜寶團·拳術家
25070101: 盜寶團·粉碎者
25070201: 盜寶團·「瓦倫斯坦」
25070202: 盜寶團·「瓦倫斯坦」
25080101: 浪人
25080201: 浪人·山賊
25080202: 野伏·火付番
25080301: 浪人·暗部
25080401: 幕府武士
25080402: 寄騎武士
25090101: 魔偶劍鬼
25090102: 魔偶劍鬼-風分身
25090103: 魔偶劍鬼-冰分身
25090104: 魔偶劍鬼-面具分身
25090201: 魔偶劍鬼·孤風
25090301: 魔偶劍鬼·霜馳
25090401: 魔偶劍鬼·兇面
25100101: 海亂鬼·雷騰
25100102: 海亂鬼·雷騰
25100201: 海亂鬼·炎威
25100301: 落武者·咒雷
25100302: 落武者·咒雷
25100401: 落武者·祟炎
26010101: 冰霜騙騙花
26010102: 冰霜騙騙花（雪山活動）
26010103: 冰霜騙騙花
26010104: 冰霜騙騙花
26010201: 熾熱騙騙花
26010301: 電氣騙騙花
26020101: 急凍樹
26020102: 急凍樹（雪山活動）
26020201: 爆炎樹
26030101: 幼岩龍蜥
26040101: 岩龍蜥-水
26040102: 岩龍蜥-火
26040103: 岩龍蜥-冰
26040104: 岩龍蜥-電
26040105: 岩龍蜥-水（塔防）
26050101: 古岩龍蜥-水
26050201: 古岩龍蜥-火
26050301: 古岩龍蜥-冰
26050401: 古岩龍蜥-電
26050501: 古岩龍蜥-活動
26050601: 深海龍蜥·原種
26050701: 深海龍蜥·囓冰
26050702: 深海龍蜥·囓冰
26050801: 深海龍蜥·吞雷
26050802: 深海龍蜥·吞雷
26050901: 深海龍蜥幼體·原種
26051001: 深海龍蜥幼體·囓冰
26051101: 深海龍蜥幼體·吞雷
26060101: 雷螢
26060201: 水螢
26060301: 冰螢
26080101: 跋掣
26090101: 浮游水蕈獸
29010101: 風魔龍 特瓦林
29010102: 風魔龍 特瓦林
29010103: 風魔龍
29010104: 風魔龍 特瓦林
29020101: 北風的王狼 玻瑞亞斯
29020102: 奔狼的領主 安德留斯
29030101: 愚人眾執行官末席 「公子」
29030102: 邪眼解放 「公子」
29030103: 「公子」
29030104: 愚人眾執行官末席 「公子」
29030105: 邪眼解放 「公子」
29030106: 「公子」
29040101: 若陀龍王-火雷
29040102: 若陀龍王-水雷
29040103: 若陀龍王-火冰
29040104: 若陀龍王-水冰
29040111: 若陀龍王
29050101: 「女士」
29050102: 焚盡的熾炎魔女
29050103: 「女士」
29050104: 焚盡的熾炎魔女
29060101: 雷電將軍
29060102: 雷電影
29060201: 禍津御建鳴神命
29060202: 禍津御建鳴神命
29060203: 禍津御建鳴神命
